Timestamp,Respondent Name,Role,Q1: WD vs HT,Q2: WD vs FD,Q3: WD vs PI,Q4: WD vs DR,Q5: HT vs FD,Q6: HT vs PI,Q7: HT vs DR,Q8: FD vs PI,Q9: FD vs DR,Q10: PI vs DR
4/15/2026 9:12,Rahim Uddin,NGO/Relief Worker,3,1,1,5,1,0.33,3,0.33,3,7
4/15/2026 9:15,Fatema Begum,NGO/Relief Worker,5,3,1,7,1,0.2,5,0.2,3,9
4/15/2024 10:02,Dr. Kamal Hossain,Academic (Professor/Lecturer),1,1,0.33,5,1,0.33,3,0.33,5,7
4/15/2024 10:11,Sultana Razia,Academic (Professor/Lecturer),3,5,1,7,3,0.33,5,0.2,5,9
4/15/2024 10:45,Arif Ahmed,Flood-Affected Community Member,5,1,1,5,1,0.2,3,0.2,3,5
4/15/2024 11:05,Zahir Raihan,NGO/Relief Worker,7,3,1,9,1,0.14,7,0.14,5,7
4/15/2024 11:20,Md. Selim,Government Official,1,1,1,3,1,1,3,1,3,5
4/15/2026 12:01,Nasrin Akter,Academic (Professor/Lecturer),3,3,1,5,1,0.33,3,0.33,3,5
4/15/2024 12:30,Tanvir Ishraq,Flood-Affected Community Member,5,3,1,7,1,0.2,5,0.2,3,5
4/15/2024 13:10,Rumana Islam,NGO/Relief Worker,3,1,1,5,1,0.33,3,0.33,3,5
4/15/2024 13:45,Hasibul Hasan,NGO/Relief Worker,5,3,1,7,1,0.2,5,0.2,3,5
4/15/2024 14:12,Dr. Anisur Rahman,Academic (Professor/Lecturer),1,3,0.33,5,3,0.33,3,0.2,3,7
4/15/2024 14:40,Mehedi Khan,Flood-Affected Community Member,7,5,1,9,1,0.14,7,0.14,5,7
4/15/2024 15:05,Sabbir Hossain,Government Official,1,1,1,5,1,1,5,1,3,5
4/15/2024 15:30,Farhana Yeasmin,NGO/Relief Worker,3,1,1,5,1,0.33,3,0.33,3,5
4/15/2024 16:01,Imtiaz Ahmed,NGO/Relief Worker,5,3,1,7,1,0.2,5,0.2,3,5
4/15/2024 16:25,Laila Arjumand,Academic (Professor/Lecturer),3,5,1,7,3,0.33,5,0.2,5,9
4/15/2024 16:55,Nurul Islam,Flood-Affected Community Member,5,1,1,5,1,0.2,3,0.2,3,5
4/15/2024 17:15,Sonia Akter,NGO/Relief Worker,7,3,1,9,1,0.14,7,0.14,5,7
4/15/2024 17:40,Abdur Rashid,Government Official,1,1,1,3,1,1,3,1,3,5
4/15/2024 18:05,Mitu Chakma,NGO/Relief Worker,3,3,1,5,1,0.33,3,0.33,3,5
