NID,Name,Upazila,House_Type,Poverty_Index,Phone,MFS_Account
NID00001,Rashida Akter,Bishwamvarpur,2,0.77,+8801313369720,bKash-00001
NID00002,Parvin Chowdhury,Zakiganj,2,0.53,+8801783963364,bKash-00002
NID00003,Halima Ahmed,Zakiganj,3,0.41,+8801335856919,bKash-00003
NID00004,Parvin Islam,Jaintiapur,3,0.99,+8801665395426,bKash-00004
NID00005,Rashida Sarker,Zakiganj,2,0.89,+8801710070640,bKash-00005
NID00006,Salma Khatun,Gowainghat,3,0.9,+8801972976036,bKash-00006
NID00007,Halima Khan,Tahirpur,3,0.48,+8801713741196,bKash-00007
NID00008,Shafiq Islam,Sunamganj Sadar,3,0.33,+8801393692386,bKash-00008
NID00009,Karim Ahmed,Balaganj,3,0.51,+8801321720477,bKash-00009
NID00010,Shafiq Uddin,Osmaninagar,2,0.68,+8801323217648,bKash-00010
NID00011,Rafiq Islam,Bishwamvarpur,2,0.53,+8801969946863,bKash-00011
NID00012,Fatema Ahmed,Tahirpur,3,0.88,+8801342425301,bKash-00012
NID00013,Tariq Parveen,Jaintiapur,3,0.49,+8801898146618,bKash-00013
NID00014,Jamal Begum,Balaganj,3,0.98,+8801670995760,bKash-00014
NID00015,Sohel Islam,Zakiganj,2,0.62,+8801756547339,bKash-00015
NID00016,Abdul Sultana,Osmaninagar,3,0.89,+8801824573458,bKash-00016
NID00017,Babul Rahman,Zakiganj,3,0.44,+8801757911176,bKash-00017
NID00018,Parvin Sultana,Companiganj,3,0.59,+8801763953229,bKash-00018
NID00019,Josna Hossain,Companiganj,3,0.79,+8801756977874,bKash-00019
NID00020,Monira Khan,Osmaninagar,3,0.4,+8801539365614,bKash-00020
NID00021,Belal Sultana,Osmaninagar,3,0.39,+8801861371106,bKash-00021
NID00022,Sohel Chowdhury,Jaintiapur,2,0.98,+8801779426200,bKash-00022
NID00023,Aziz Parveen,Osmaninagar,3,0.8,+8801779872506,bKash-00023
NID00024,Roksana Parveen,Gowainghat,3,0.33,+8801820198499,bKash-00024
NID00025,Salma Sultana,Zakiganj,2,0.58,+8801854362902,bKash-00025
NID00026,Dilara Akter,Tahirpur,2,0.6,+8801394673574,bKash-00026
NID00027,Josna Uddin,Kanaighat,3,0.82,+8801833614649,bKash-00027
NID00028,Amina Uddin,Osmaninagar,2,0.48,+8801988507230,bKash-00028
NID00029,Rashida Islam,Bishwamvarpur,3,0.43,+8801527310852,bKash-00029
NID00030,Nasrin Khatun,Companiganj,2,0.36,+8801664564054,bKash-00030
NID00031,Anwar Akter,Gowainghat,1,0.6,+8801840773482,bKash-00031
NID00032,Josna Sultana,Balaganj,3,0.78,+8801687273675,bKash-00032
NID00033,Mokbul Begum,Kanaighat,2,0.34,+8801359437769,bKash-00033
NID00034,Babul Mia,Tahirpur,2,0.94,+8801541665404,bKash-00034
NID00035,Babul Islam,Kanaighat,3,0.61,+8801995218477,bKash-00035
NID00036,Fatema Akter,Osmaninagar,3,0.47,+8801826434343,bKash-00036
NID00037,Sohel Chowdhury,Jaintiapur,2,0.37,+8801550201137,bKash-00037
NID00038,Sohel Khatun,Companiganj,3,0.43,+8801690497273,bKash-00038
NID00039,Tariq Ali,Companiganj,3,0.95,+8801590954884,bKash-00039
NID00040,Sumon Chowdhury,Balaganj,3,0.75,+8801872182821,bKash-00040
NID00041,Rahim Parveen,Jaintiapur,2,0.66,+8801690768647,bKash-00041
NID00042,Kulsum Akter,Zakiganj,3,0.76,+8801833020885,bKash-00042
NID00043,Anwar Ahmed,Sunamganj Sadar,3,0.6,+8801787031056,bKash-00043
NID00044,Karim Begum,Gowainghat,3,0.81,+8801324509187,bKash-00044
NID00045,Aziz Rahman,Companiganj,3,0.33,+8801715409861,bKash-00045
NID00046,Rafiq Sarker,Bishwamvarpur,2,0.7,+8801765478034,bKash-00046
