Victim_ID,NID,Name,Upazila,Vulnerability_Score,Raw_Allocation_BDT,Allocated_Fund_BDT,Allocated_Fund_ETH,Traditional_Equal_BDT,Phone,MFS_Account,Water_Depth_ft,Duration_Days,Distance_km,House_Type,Poverty_Index,Verification_Status,Norm_Depth,Norm_House,Norm_Duration,Norm_Poverty,Norm_Distance
1,NID00091,Babul Khatun,Zakiganj,77.64,13850.31,13850.0,0.1385,10000.0,8801517136029.0,bKash-00091,10.0,9,11.0,1.0,0.76,Verified,0.8333333333333334,1.0,0.4736842105263157,0.76,0.7432432432432432
2,NID00088,Amina Chowdhury,Osmaninagar,48.0,8562.79,8563.0,0.08563,10000.0,8801639933823.0,bKash-00088,4.8,17,9.1,2.0,0.33,Verified,0.3999999999999999,0.6666666666666666,0.8947368421052632,0.33,0.6148648648648648
3,NID00079,Sumon Sultana,Jaintiapur,61.12,10903.29,10903.0,0.10903,10000.0,8801781275364.0,bKash-00079,4.8,9,2.0,2.0,0.87,Verified,0.3999999999999999,0.6666666666666666,0.4736842105263157,0.87,0.1351351351351351
4,NID00068,Shafiq Hossain,Tahirpur,49.45,8821.46,8821.0,0.08821,10000.0,8801552801198.0,bKash-00068,1.3,11,13.8,2.0,0.68,Verified,0.1083333333333333,0.6666666666666666,0.5789473684210527,0.68,0.9324324324324323
5,NID00007,Halima Khan,Tahirpur,54.86,9786.55,9787.0,0.09787,10000.0,8801713741196.0,bKash-00007,7.0,15,12.0,3.0,0.48,Verified,0.5833333333333334,0.3333333333333333,0.7894736842105263,0.48,0.8108108108108107
6,NID00048,Parvin Chowdhury,Kanaighat,41.35,7376.49,7376.0,0.07376,10000.0,8801985524262.0,bKash-00048,6.9,6,0.8,3.0,0.38,Verified,0.5750000000000001,0.3333333333333333,0.3157894736842105,0.38,0.054054054054054
7,NID00031,Anwar Akter,Gowainghat,53.62,9565.35,9565.0,0.09565,10000.0,8801840773482.0,bKash-00031,4.9,3,9.9,1.0,0.6,Verified,0.4083333333333334,1.0,0.1578947368421052,0.6,0.6689189189189189
8,NID00058,Habib Ali,Gowainghat,72.73,12974.41,12974.0,0.12974,10000.0,8801330812709.0,bKash-00058,10.8,17,11.7,2.0,0.54,Verified,0.9,0.6666666666666666,0.8947368421052632,0.54,0.7905405405405405
9,NID00035,Babul Islam,Kanaighat,39.05,6966.19,6966.0,0.06966,10000.0,8801995218477.0,bKash-00035,2.4,5,5.9,3.0,0.61,Verified,0.1999999999999999,0.3333333333333333,0.2631578947368421,0.61,0.3986486486486486
10,NID00094,Roksana Chowdhury,Companiganj,54.08,9647.41,9647.0,0.09647,10000.0,8801359907857.0,bKash-00094,4.6,12,1.5,1.0,0.54,Verified,0.3833333333333333,1.0,0.631578947368421,0.54,0.1013513513513513
11,NID00009,Karim Ahmed,Balaganj,48.27,8610.96,8611.0,0.08611,10000.0,8801321720477.0,bKash-00009,4.5,18,1.6,3.0,0.51,Verified,0.375,0.3333333333333333,0.9473684210526316,0.51,0.1081081081081081
12,NID00061,Babul Mia,Balaganj,32.18,5740.64,5741.0,0.05741,10000.0,8801861152700.0,bKash-00061,2.0,14,2.0,3.0,0.33,Verified,0.1666666666666666,0.3333333333333333,0.7368421052631579,0.33,0.1351351351351351
13,NID00086,Monira Uddin,Zakiganj,53.6,9561.78,9562.0,0.09562,10000.0,8801653109628.0,bKash-00086,6.3,11,12.7,2.0,0.45,Verified,0.525,0.6666666666666666,0.5789473684210527,0.45,0.858108108108108
14,NID00066,Abdul Mia,Kanaighat,82.0,14628.1,14628.0,0.14628,10000.0,8801643978002.0,bKash-00066,8.6,9,13.7,1.0,0.95,Verified,0.7166666666666667,1.0,0.4736842105263157,0.95,0.9256756756756755
15,NID00046,Rafiq Sarker,Bishwamvarpur,54.77,9770.5,9770.0,0.0977,10000.0,8801765478034.0,bKash-00046,6.6,2,2.3,2.0,0.7,Verified,0.5499999999999999,0.6666666666666666,0.1052631578947368,0.7,0.1554054054054053
16,NID00008,Shafiq Islam,Sunamganj Sadar,33.26,5933.3,5933.0,0.05933,10000.0,8801393692386.0,bKash-00008,2.7,12,3.9,3.0,0.33,Verified,0.225,0.3333333333333333,0.631578947368421,0.33,0.2635135135135135
17,NID00028,Amina Uddin,Osmaninagar,43.5,7760.03,7760.0,0.0776,10000.0,8801988507230.0,bKash-00028,5.2,3,2.9,2.0,0.48,Verified,0.4333333333333333,0.6666666666666666,0.1578947368421052,0.48,0.1959459459459459
18,NID00022,Sohel Chowdhury,Jaintiapur,51.55,9196.08,9196.0,0.09196,10000.0,8801779426200.0,bKash-00022,1.0,3,3.2,2.0,0.98,Verified,0.0833333333333333,0.6666666666666666,0.1578947368421052,0.98,0.2162162162162162
19,NID00071,Halima Uddin,Jaintiapur,77.74,13868.15,13868.0,0.13868,10000.0,8801949521538.0,bKash-00071,10.6,1,12.6,2.0,0.96,Verified,0.8833333333333333,0.6666666666666666,0.0526315789473684,0.96,0.8513513513513513
20,NID00043,Anwar Ahmed,Sunamganj Sadar,39.18,6989.38,6989.0,0.06989,10000.0,8801787031056.0,bKash-00043,1.9,8,5.3,3.0,0.6,Verified,0.1583333333333333,0.3333333333333333,0.4210526315789473,0.6,0.358108108108108
21,NID00019,Josna Hossain,Companiganj,61.48,10967.51,10968.0,0.10968,10000.0,8801756977874.0,bKash-00019,7.6,8,5.0,3.0,0.79,Verified,0.6333333333333333,0.3333333333333333,0.4210526315789473,0.79,0.3378378378378378
22,NID00016,Abdul Sultana,Osmaninagar,65.41,11668.58,11669.0,0.11669,10000.0,8801824573458.0,bKash-00016,6.9,9,9.3,3.0,0.89,Verified,0.5750000000000001,0.3333333333333333,0.4736842105263157,0.89,0.6283783783783784
23,NID00025,Salma Sultana,Zakiganj,65.52,11688.21,11688.0,0.11688,10000.0,8801854362902.0,bKash-00025,11.2,5,6.0,2.0,0.58,Verified,0.9333333333333332,0.6666666666666666,0.2631578947368421,0.58,0.4054054054054054
